refdes;pin;voltage;current
J11;1;11.9938;6.1601
J11;3;0.0;-6.1601
Q1;15;11.9332;-1.02736
Q1;11;11.9311;-0.985539
Q1;2;11.9312;-0.987098
R19;1;0.0160381;3.0
Q2;15;11.9314;-1.04066
Q2;11;11.9283;-0.978711
Q2;2;11.9284;-0.980626
R43;1;0.017455;3.0
U5;13;2.82895;-0.01
U5;1;0.0113986;0.00249997
U5;2;0.0114003;0.00249987
U5;4;0.0113972;0.00250006
U5;5;0.0113966;0.0025001
U1;1;2.82863;-0.0299241
U1;9;2.8289;-0.0300173
U1;24;2.8289;-0.0300171
U1;36;2.82898;-0.0300448
U1;48;2.82884;-0.0299969
U1;8;0.00968718;0.0372675
U1;23;0.00818463;0.0377747
U1;35;0.00852806;0.0376587
U1;47;0.00959336;0.0372992
U10;3;11.5301;-0.1601
U10;1;0.00999197;0.0001
U10;4;2.83013;0.08
U10;2;2.83013;0.08
D5;A;11.974;-0.1601
D5;K;11.531;0.1601
