x;y;layer1;layer2;voltage1;voltage2;current
60.932;569.616;TOP_LAYER;GND;0.0114816;0.0114816;1.74069e-14
60.932;569.616;GND;VCC;0.0114816;0.0114816;-6.31757e-14
60.932;569.616;VCC;BOTTOM_LAYER;0.0114816;0.0114816;-5.22208e-14
111.201;1968.8;TOP_LAYER;GND;0.00863185;0.00863185;5.22208e-14
111.201;1968.8;GND;VCC;0.00863185;0.00863185;-4.83899e-14
111.201;1968.8;VCC;BOTTOM_LAYER;0.00863185;0.00863185;-3.48139e-14
130.568;1424.43;TOP_LAYER;GND;0.011389;0.011389;5.22208e-14
130.568;1424.43;GND;VCC;0.011389;0.011389;-2.01625e-14
130.568;1424.43;VCC;BOTTOM_LAYER;0.011389;0.011389;-1.74069e-14
147.773;1784.43;TOP_LAYER;GND;2.82904;2.82904;1.33685e-11
147.773;1784.43;GND;VCC;2.82904;2.82904;1.54848e-11
147.773;1784.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-4.45617e-12
191.568;510.432;TOP_LAYER;GND;0.0114875;0.0114875;5.22208e-14
191.568;510.432;GND;VCC;0.0114875;0.0114875;6.31757e-14
191.568;510.432;VCC;BOTTOM_LAYER;0.0114875;0.0114875;6.96277e-14
204.506;1321.08;TOP_LAYER;GND;2.82898;2.82898;-0
204.506;1321.08;GND;VCC;2.82898;2.82898;2.39574e-12
204.506;1321.08;VCC;BOTTOM_LAYER;2.82898;2.82898;-6.20497e-12
204.506;1370.3;TOP_LAYER;GND;0.0113889;0.0113889;2.42382e-14
204.506;1370.3;GND;VCC;0.0113889;0.0113889;-2.43318e-14
204.506;1370.3;VCC;BOTTOM_LAYER;0.0113889;0.0113889;-4.84764e-14
210.568;1724.43;TOP_LAYER;GND;2.82904;2.82904;1.33685e-11
210.568;1724.43;GND;VCC;2.82904;2.82904;1.54848e-11
210.568;1724.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-5.79124e-05
219.151;1514.43;TOP_LAYER;GND;0.00877576;0.00877576;5.22208e-14
219.151;1514.43;GND;VCC;0.00877576;0.00877876;-0.00232229
219.151;1514.43;VCC;BOTTOM_LAYER;0.00877876;0.00877899;-0.00232229
219.793;1554.43;TOP_LAYER;GND;0.0087747;0.0087747;5.22208e-14
219.793;1554.43;GND;VCC;0.0087747;0.00877843;-0.00288746
219.793;1554.43;VCC;BOTTOM_LAYER;0.00877843;0.00877871;-0.00288746
223.066;893.432;TOP_LAYER;GND;2.82899;2.82899;1.33685e-11
223.066;893.432;GND;VCC;2.82899;2.82899;1.54848e-11
223.066;893.432;VCC;BOTTOM_LAYER;2.82899;2.82899;-9.89767e-06
223.725;1589.5;TOP_LAYER;GND;0.00877242;0.00877242;3.48139e-14
223.725;1589.5;GND;VCC;0.00877242;0.00877572;-0.0025614
223.725;1589.5;VCC;BOTTOM_LAYER;0.00877572;0.00877598;-0.0025614
240.568;1707.46;TOP_LAYER;GND;2.82904;2.82904;1.33685e-11
240.568;1707.46;GND;VCC;2.82904;2.82904;1.54848e-11
240.568;1707.46;VCC;BOTTOM_LAYER;2.82904;2.82904;1.49516e-05
240.568;1744.43;TOP_LAYER;GND;2.82904;2.82904;8.91235e-12
240.568;1744.43;GND;VCC;2.82904;2.82904;1.47966e-11
240.568;1744.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-6.45062e-05
250.568;2024.43;TOP_LAYER;GND;0.00862223;0.00862223;5.22208e-14
250.568;2024.43;GND;VCC;0.00862223;0.00862223;-4.70458e-14
250.568;2024.43;VCC;BOTTOM_LAYER;0.00862223;0.00862223;-5.22208e-14
256.568;866.432;TOP_LAYER;GND;2.82899;2.82899;1.33685e-11
256.568;866.432;GND;VCC;2.82899;2.82899;1.54848e-11
256.568;866.432;VCC;BOTTOM_LAYER;2.82899;2.82899;-2.15658e-06
265.568;1514.43;TOP_LAYER;GND;0.00878182;0.00878182;6.96277e-14
265.568;1514.43;GND;VCC;0.00878182;0.00878064;0.000911545
265.568;1514.43;VCC;BOTTOM_LAYER;0.00878064;0.00878055;0.000911545
265.568;1554.43;TOP_LAYER;GND;0.00878198;0.00878198;5.22208e-14
265.568;1554.43;GND;VCC;0.00878198;0.00878037;0.00124737
265.568;1554.43;VCC;BOTTOM_LAYER;0.00878037;0.00878025;0.00124737
283.068;725.535;TOP_LAYER;GND;2.82899;2.82899;8.91235e-12
283.068;725.535;GND;VCC;2.82899;2.82899;9.97908e-12
283.068;725.535;VCC;BOTTOM_LAYER;2.82899;2.82899;2.38575e-06
283.068;984.432;TOP_LAYER;GND;0.0114313;0.0114313;6.96277e-14
283.068;984.432;GND;VCC;0.0114313;0.0114313;5.37666e-15
283.068;984.432;VCC;BOTTOM_LAYER;0.0114313;0.0114313;1.74069e-14
287.863;1235.13;TOP_LAYER;GND;0.0113898;0.0113898;3.48139e-14
287.863;1235.13;GND;VCC;0.0113898;0.0113898;-6.31757e-14
287.863;1235.13;VCC;BOTTOM_LAYER;0.0113898;0.0113898;-5.22208e-14
295.568;634.432;TOP_LAYER;GND;0.0114851;0.0114851;5.22208e-14
295.568;634.432;GND;VCC;0.0114851;0.0114851;-4.83899e-14
295.568;634.432;VCC;BOTTOM_LAYER;0.0114851;0.0114851;-3.48139e-14
295.568;834.432;TOP_LAYER;GND;2.82899;2.82899;-0
295.568;834.432;GND;VCC;2.82899;2.82899;-0
295.568;834.432;VCC;BOTTOM_LAYER;2.82899;2.82899;9.6685e-06
310.568;1357.79;TOP_LAYER;GND;0.0113887;0.0113887;5.22208e-14
310.568;1357.79;GND;VCC;0.0113887;0.0113886;5.81535e-05
310.568;1357.79;VCC;BOTTOM_LAYER;0.0113886;0.0113886;5.81535e-05
310.568;1514.43;TOP_LAYER;GND;0.00878975;0.00878975;5.22208e-14
310.568;1514.43;GND;VCC;0.00878975;0.00878251;0.00561224
310.568;1514.43;VCC;BOTTOM_LAYER;0.00878251;0.00878195;0.00561224
355.568;969.432;TOP_LAYER;GND;0.0114288;0.0114288;5.22208e-14
355.568;969.432;GND;VCC;0.0114288;0.0114288;-4.03249e-14
355.568;969.432;VCC;BOTTOM_LAYER;0.0114288;0.0114288;-3.48139e-14
359.568;91.4322;TOP_LAYER;GND;0.0119005;0.0119005;5.22208e-14
359.568;91.4322;GND;VCC;0.0119005;0.0119005;2.7646e-06
359.568;91.4322;VCC;BOTTOM_LAYER;0.0119005;0.0119005;2.7646e-06
357.48;151.52;TOP_LAYER;GND;0.0119004;0.0119004;2.11514e-14
357.48;151.52;GND;VCC;0.0119004;0.0119005;-2.09424e-05
357.48;151.52;VCC;BOTTOM_LAYER;0.0119005;0.0119005;-2.09424e-05
380.568;2094.43;TOP_LAYER;GND;0.00859499;0.00859499;3.48139e-14
380.568;2094.43;GND;VCC;0.00859499;0.00859499;-4.70458e-14
380.568;2094.43;VCC;BOTTOM_LAYER;0.00859499;0.00859499;-3.48139e-14
389.48;1759.52;TOP_LAYER;GND;2.82904;2.82904;-0
389.48;1759.52;GND;VCC;2.82904;2.82904;-4.18127e-13
389.48;1759.52;VCC;BOTTOM_LAYER;2.82904;2.82904;0.000107467
395.568;934.432;TOP_LAYER;GND;0.0114334;0.0114334;5.22208e-14
395.568;934.432;GND;VCC;0.0114334;0.0114334;-6.31757e-14
395.568;934.432;VCC;BOTTOM_LAYER;0.0114334;0.0114334;-5.22208e-14
405.568;519.432;TOP_LAYER;GND;0.0115041;0.0115041;5.22208e-14
405.568;519.432;GND;VCC;0.0115041;0.0115041;-4.03249e-14
405.568;519.432;VCC;BOTTOM_LAYER;0.0115041;0.0115041;-3.48139e-14
409.647;103.432;TOP_LAYER;GND;0.0119005;0.0119005;-1.74069e-14
409.647;103.432;GND;VCC;0.0119005;0.0119005;1.81778e-05
409.647;103.432;VCC;BOTTOM_LAYER;0.0119005;0.0119005;1.81778e-05
420.568;1869.43;TOP_LAYER;GND;0.00871316;0.00871467;-0.0151097
420.568;1869.43;GND;VCC;0.00871467;0.00871467;-4.83899e-14
420.568;1869.43;VCC;BOTTOM_LAYER;0.00871467;0.00871467;-3.48139e-14
430.568;1934.43;TOP_LAYER;GND;0.00870091;0.00869767;0.0325782
430.568;1934.43;GND;VCC;0.00869767;0.00869767;-4.83899e-14
430.568;1934.43;VCC;BOTTOM_LAYER;0.00869767;0.00869767;-3.48139e-14
439.426;1047.2;TOP_LAYER;GND;0.0114052;0.0114052;-3.48139e-14
439.426;1047.2;GND;VCC;0.0114052;0.0114052;-6.31757e-14
439.426;1047.2;VCC;BOTTOM_LAYER;0.0114052;0.0114052;-5.22208e-14
455.568;2439.43;TOP_LAYER;GND;0.0083802;0.0083802;3.48139e-14
455.568;2439.43;GND;VCC;0.0083802;0.0083802;-3.49483e-14
455.568;2439.43;VCC;BOTTOM_LAYER;0.0083802;0.0083802;-1.74069e-14
465.98;1359.88;TOP_LAYER;GND;0.0113889;0.0113888;0.000506625
465.98;1359.88;GND;VCC;0.0113888;0.0113885;0.000174035
465.98;1359.88;VCC;BOTTOM_LAYER;0.0113885;0.0113884;0.000174035
473.48;1335.52;TOP_LAYER;GND;0.0113877;0.0113874;0.00159737
