refdes;partname;type;Alternate_Part_Number;Alternate_Part_Number-1;Case/Package;Crimp_Part_Number;Manufacturer;Manufacturer_Part_Number;Mating_Part_Number;Supplier-1;Supplier_Part_Number-1;VALUE
C10;2nF;C;  ; NA; 0805;  ; Samsung Electro-Mechanics; CL21B202KBANNNC;  ; Digikey; 1276-2471-1-ND - Cut Tape (CT); 2nF
C21;10nF;C;  ; NA; TH;  ; Yageo; RDER73A103K2K1H03B;  ; SP ROAD; RDER73A103K2K1H03B; 10nF
C22;0.1uF;C;  ; NA; 0805;  ; Samsung; CL21B104KBCNNNC;  ; SIRICOM; 0805B104K500CT; 0.1uF
C23;1uF;C;  ; 0805F105M500NT; 0805;  ; Samsung; CC0805JKX7R9BB105;  ; SIRICOM; CL21B105KBFNNNE; 1uF
C25;0.1uF;C;  ; NA; 0805;  ; Samsung; CL21B104KBCNNNC;  ; SIRICOM; 0805B104K500CT; 0.1uF
C3;0.1uF;C;  ; NA; 0805;  ; Samsung; CL21B104KBCNNNC;  ; SIRICOM; 0805B104K500CT; 0.1uF
C32;0.1uF;C;  ; NA; 0805;  ; Samsung; CL21B104KBCNNNC;  ; SIRICOM; 0805B104K500CT; 0.1uF
C33;10nF;C;  ; GRM2195C1H103JA01D; 0805;  ; Samsung; C0805C103K5RECAUTO;  ; SIRICOM; 0805B103K500CT; 10nF
C34;10nF;C;  ; GRM2195C1H103JA01D; 0805;  ; Samsung; C0805C103K5RECAUTO;  ; SIRICOM; 0805B103K500CT; 10nF
C4;0.1uF;C;  ; NA; 0805;  ; Samsung; CL21B104KBCNNNC;  ; SIRICOM; 0805B104K500CT; 0.1uF
C42;1uF;C;  ; 0805F105M500NT; 0805;  ; Samsung; CC0805JKX7R9BB105;  ; SIRICOM; CL21B105KBFNNNE; 1uF
C48;150pF;C;  ; NA; 0805;  ; AVX Corporation; 08055A151KAT2A;  ; Digikey; 478-10501-1-ND - Cut Tape (CT); 150pF
C49;150pF;C;  ; NA; 0805;  ; AVX Corporation; 08055A151KAT2A;  ; Digikey; 478-10501-1-ND - Cut Tape (CT); 150pF
C50;10uF;C;  ; GRT31CR61H106ME01L; 1206;  ; KEMET; CL31B106KBHNNNE;  ; SIRICOM; CC1206KKX5R9BB106; 10uF
C56;30pF;C; NA;  ; 0805;  ; KEMET; C0805C300K5GAC7800;  ; Digikey; 399-17443-1-ND - Cut Tape (CT); 30pF
C58;30pF;C; NA;  ; 0805;  ; KEMET; C0805C300K5GAC7800;  ; Digikey; 399-17443-1-ND - Cut Tape (CT); 30pF
